"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Green Bay Packers","","3.0","1.2","0.6","0.8","0.3","0.0","15.5","291.0","9.1"
"","high","3.9","1.8","0.8","1.0","0.4","0.1","17.2","260.0","11.8"
"","low","2.4","0.7","0.3","0.5","0.1","0.0","13.5","321.9","9.0"
"Seattle Seahawks","","2.7","1.2","0.6","1.0","0.2","0.0","19.9","343.6","8.8"
"","high","3.2","1.4","0.8","1.2","0.3","0.1","21.0","330.2","10.2"
"","low","2.0","0.9","0.5","0.8","0.2","0.0","17.8","357.0","6.5"
"Carolina Panthers","","2.9","1.4","0.7","1.0","0.3","0.0","25.9","409.1","8.7"
"","high","3.1","1.6","0.8","1.1","0.3","0.0","28.6","402.0","9.1"
"","low","2.6","1.1","0.6","0.9","0.2","0.0","24.5","416.2","7.1"
"Chicago Bears","","2.9","1.0","0.7","1.1","0.2","0.0","18.9","323.3","8.7"
"","high","3.7","1.1","0.9","1.3","0.3","0.1","19.8","321.0","10.0"
"","low","2.0","0.9","0.5","0.8","0.2","0.0","17.6","325.6","7.4"
"Miami Dolphins","","2.5","1.1","0.6","0.8","0.2","0.0","18.1","319.2","8.5"
"","high","2.9","1.3","0.7","0.9","0.3","0.1","20.2","301.0","9.9"
"","low","2.1","1.0","0.5","0.7","0.2","0.0","16.2","337.4","7.6"
"Tennessee Titans","","2.7","0.9","0.6","0.8","0.2","0.0","17.3","317.6","8.3"
"","high","3.5","1.1","0.8","0.9","0.4","0.1","21.3","296.0","10.1"
"","low","2.4","0.7","0.4","0.7","0.1","0.0","15.3","339.3","7.5"
"Philadelphia Eagles","","2.6","1.0","0.6","0.8","0.2","0.0","19.5","336.2","8.3"
"","high","3.5","1.1","0.7","0.9","0.3","0.1","22.3","317.0","9.7"
"","low","1.9","0.9","0.5","0.7","0.2","0.0","16.8","355.4","6.7"
"Los Angeles Rams","","3.0","1.1","0.7","1.1","0.2","0.0","22.5","356.6","8.0"
"","high","3.4","1.4","1.0","1.3","0.3","0.0","23.2","336.0","9.3"
"","low","2.5","0.8","0.6","0.9","0.2","0.0","21.8","377.1","8.1"
"Kansas City Chiefs","","2.8","0.9","0.8","1.1","0.2","0.0","20.1","348.7","7.7"
"","high","3.3","1.2","0.9","1.2","0.4","0.0","21.0","345.4","9.1"
"","low","2.1","0.7","0.6","0.9","0.2","0.0","19.4","352.0","7.4"
"Cleveland Browns","","2.9","1.1","0.7","1.2","0.2","0.0","24.5","341.0","7.7"
"","high","3.5","1.5","1.0","1.4","0.3","0.0","26.5","322.9","10.1"
"","low","2.0","0.8","0.4","0.9","0.1","0.0","20.5","359.0","6.4"
"Denver Broncos","","2.7","1.2","0.6","0.8","0.2","0.0","21.0","329.9","7.5"
"","high","3.3","1.3","0.7","0.8","0.3","0.0","22.1","313.0","9.9"
"","low","2.5","0.9","0.5","0.7","0.2","0.0","20.0","346.7","6.7"
"Houston Texans","","2.8","0.9","0.7","1.0","0.2","0.1","20.5","339.3","7.4"
"","high","3.3","0.9","0.8","1.1","0.3","0.1","22.2","310.5","9.0"
"","low","2.2","0.8","0.6","0.9","0.2","0.0","18.3","368.0","6.6"
"New Orleans Saints","","3.0","0.8","0.7","1.0","0.2","0.0","22.4","353.8","7.3"
"","high","3.7","0.9","0.8","1.1","0.3","0.0","22.5","352.5","8.8"
