"Player","Team","FG","FGA","XPT","FPTS"
"Greg Zuerlein","LAR","2.4","2.6","3.3","10.5"
"","high","3.0","3.0","3.8","12.0"
"","low","1.7","2.2","2.9","9.7"
"Harrison Butker","KC","1.8","2.1","4.0","9.5"
"","high","2.7","3.2","4.7","12.0"
"","low","1.0","1.0","3.3","7.0"
"Wil Lutz","NO","2.1","2.3","3.1","9.4"
"","high","2.5","2.9","3.6","11.1"
"","low","1.8","2.0","2.7","9.0"
"Stephen Gostkowski","NE","2.1","2.4","2.7","9.1"
"","high","2.5","2.9","3.1","10.6"
"","low","1.7","2.0","2.3","8.6"
"Sebastian Janikowski","SEA","1.9","2.2","3.2","9.0"
"","high","2.2","2.8","3.9","10.0"
"","low","1.6","1.9","2.7","8.3"
"Ka'imi Fairbairn","HOU","2.0","2.4","2.6","8.7"
"","high","2.2","2.7","3.0","9.4"
"","low","2.0","2.0","2.1","8.8"
"Graham Gano","CAR","1.8","2.1","2.9","8.5"
"","high","2.4","2.8","3.2","10.5"
"","low","1.4","1.6","2.5","7.7"
"Ryan Succop","TEN","2.0","2.3","2.3","8.3"
"","high","2.2","2.7","2.6","9.5"
"","low","1.8","2.0","2.0","8.0"
"Adam Vinatieri","IND","1.9","2.2","2.5","8.2"
"","high","2.2","2.7","3.0","9.2"
"","low","1.5","1.9","2.0","7.9"
"Brandon McManus","DEN","1.8","2.1","2.6","8.2"
"","high","2.1","2.7","3.0","9.1"
"","low","1.5","1.8","2.2","7.4"
"Justin Tucker","BAL","1.9","2.1","2.2","7.9"
"","high","2.3","2.5","2.4","10.0"
"","low","1.6","1.7","1.9","7.2"
"Cairo Santos","TB","1.7","2.0","2.7","7.9"
"","high","2.2","2.5","3.0","9.1"
"","low","1.4","1.7","2.2","7.3"
"Mason Crosby","GB","1.7","2.1","2.8","7.9"
"","high","2.1","2.7","3.0","9.4"
"","low","1.0","1.0","2.6","6.0"
"Brett Maher","DAL","1.9","2.2","2.2","7.9"
"","high","2.0","2.4","2.4","8.9"
"","low","1.7","2.0","2.0","7.5"
"Jake Elliott","PHI","1.8","2.2","2.3","7.8"
"","high","2.1","2.7","2.7","9.1"
"","low","1.6","2.0","2.0","7.7"
"Matt Prater","DET","1.9","2.1","2.2","7.7"
"","high","2.1","2.4","2.5","8.8"
"","low","1.6","1.9","1.9","7.5"
"Jason Sanders","MIA","1.8","2.1","2.1","7.5"
"","high","2.0","2.4","2.6","8.6"
"","low","1.6","1.7","1.8","7.3"
"Greg Joseph","CLE","1.8","2.0","2.0","7.3"
"","high","2.0","2.3","2.4","8.1"
"","low","1.5","1.7","1.7","6.9"
"Robbie Gould","SF","1.8","2.0","1.8","7.3"
"","high","2.0","2.1","2.1","8.0"
"","low","1.6","1.8","1.5","7.1"
"Michael Badgley","LAC","1.6","1.8","2.5","7.2"
"","high","2.1","2.5","3.0","8.9"
"","low","1.0","1.0","2.3","6.0"
"Aldrick Rosas","NYG","1.8","2.0","1.8","7.2"
"","high","2.0","2.2","2.0","8.0"
"","low","1.5","1.6","1.6","6.5"
"Chris Boswell","PIT","1.4","1.8","3.0","7.1"
"","high","2.3","2.8","4.0","9.8"
"","low","0.0","0.0","2.5","4.0"
"Cody Parkey","CHI","1.6","1.9","2.4","7.1"
"","high","2.1","2.5","3.0","8.7"
"","low","1.0","1.0","2.2","6.0"
"Dustin Hopkins","WAS","1.7","2.0","1.9","7.0"
"","high","2.0","2.3","2.1","8.0"
"","low","1.4","1.7","1.7","6.0"
"Josh Lambo","JAC","1.7","1.9","2.0","7.0"
"","high","2.0","2.3","2.4","8.7"
"","low","1.0","1.0","1.8","5.0"
"Randy Bullock","CIN","1.6","2.0","2.1","6.9"
"","high","2.0","2.2","2.4","8.0"
"","low","1.2","1.5","1.9","6.2"
"Daniel Carlson","OAK","1.6","2.0","2.0","6.8"
"","high","2.0","2.3","2.2","8.0"
"","low","1.1","1.7","1.8","6.0"
"Dan Bailey","MIN","1.5","1.9","2.3","6.7"
"","high","2.0","2.5","3.0","8.3"
"","low","1.0","1.0","2.0","6.0"
"Steven Hauschka","BUF","1.5","1.6","1.8","6.2"
"","high","1.8","2.1","2.3","8.6"
"","low","1.0","1.0","1.5","5.0"
"Jason Myers","NYJ","1.5","1.7","1.6","6.1"
"","high","1.7","2.0","2.0","7.7"
"","low","1.0","1.0","1.3","5.0"
"Zane Gonzalez","ARI","1.1","1.4","1.6","4.9"
"","high","1.4","2.0","2.0","5.4"
"","low","1.0","1.0","1.2","4.7"
"Eddy Pineiro","OAK","0.0","0.0","0.0","0.0"
"","high","0.0","0.0","0.0","0.0"
"","low","0.0","0.0","0.0","0.0"
""
""
