"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Todd Gurley","LAR","18.3","89.6","0.9","4.1","41.5","0.2","0.1","19.9"
"","high","19.6","94.4","1.0","5.0","46.5","0.4","0.0","22.5"
"","low","17.0","80.0","0.8","3.7","36.6","0.0","0.2","18.0"
"Christian McCaffrey","CAR","14.7","67.8","0.7","6.3","56.1","0.3","0.1","17.9"
"","high","16.0","77.9","1.0","7.0","65.8","0.4","0.0","18.9"
"","low","13.7","62.1","0.5","5.3","50.4","0.0","0.2","17.2"
"Ezekiel Elliott","DAL","20.3","88.9","0.7","4.4","36.5","0.2","0.1","17.3"
"","high","26.0","105.0","1.0","5.2","48.0","0.2","0.1","19.5"
"","low","15.5","68.0","0.5","3.8","30.0","0.0","0.2","15.6"
"Saquon Barkley","NYG","16.1","66.0","0.7","6.2","49.3","0.2","0.2","16.6"
"","high","18.0","75.5","1.0","6.4","50.2","0.4","0.1","18.6"
"","low","15.3","61.6","0.4","5.9","47.7","0.0","0.2","15.0"
"James Conner","PIT","17.4","74.2","0.8","4.4","35.0","0.1","0.2","16.0"
"","high","19.6","85.0","1.0","6.0","38.5","0.2","0.1","16.9"
"","low","16.4","67.7","0.7","3.7","29.0","0.0","0.3","14.9"
"Alvin Kamara","NO","13.0","58.4","0.7","5.2","46.0","0.2","0.1","15.9"
"","high","14.0","65.0","1.0","5.8","52.3","0.4","0.0","17.0"
"","low","11.9","52.0","0.5","4.2","37.3","0.0","0.1","14.1"
"Aaron Jones","GB","16.3","79.0","0.8","2.9","23.3","0.1","0.1","15.6"
"","high","17.8","84.0","1.0","3.2","27.3","0.2","0.0","16.9"
"","low","13.6","69.9","0.6","2.3","16.0","0.0","0.1","14.3"
"Nick Chubb","CLE","18.4","81.4","0.7","1.6","13.9","0.1","0.1","14.1"
"","high","21.3","92.0","1.0","2.3","20.7","0.1","0.1","15.6"
"","low","17.3","73.0","0.4","0.9","7.8","0.0","0.1","11.6"
"Spencer Ware","KC","15.1","69.1","0.6","2.5","27.0","0.1","0.1","13.9"
"","high","19.0","85.0","1.0","3.0","35.1","0.2","0.1","17.0"
"","low","13.7","60.6","0.4","2.2","20.9","0.0","0.2","12.8"
"David Johnson","ARI","16.9","64.9","0.6","4.0","35.3","0.1","0.2","13.7"
"","high","18.0","75.0","1.0","5.0","39.4","0.2","0.1","17.0"
"","low","15.1","56.5","0.3","3.5","32.2","0.0","0.3","12.1"
"Phillip Lindsay","DEN","14.8","72.8","0.6","2.8","21.7","0.1","0.0","13.4"
"","high","19.0","85.0","1.0","3.2","25.0","0.1","0.0","17.0"
"","low","12.6","65.3","0.4","2.4","17.1","0.0","0.1","12.1"
"Joe Mixon","CIN","16.1","68.8","0.6","3.1","26.5","0.1","0.1","13.4"
"","high","18.0","72.3","1.0","3.8","33.3","0.1","0.0","15.5"
"","low","13.5","60.5","0.4","2.7","20.5","0.0","0.1","12.5"
"Austin Ekeler","LAC","12.6","57.9","0.5","3.8","36.2","0.2","0.1","13.1"
"","high","14.9","67.0","1.0","5.0","40.0","0.2","0.1","15.0"
"","low","11.0","50.0","0.3","2.9","33.0","0.0","0.2","12.3"
"Matt Breida","SF","14.4","68.4","0.5","2.6","20.3","0.1","0.1","12.1"
"","high","15.1","74.4","1.0","4.0","25.0","0.2","0.1","15.5"
"","low","13.5","59.1","0.3","1.7","14.0","0.0","0.1","10.7"
"Chris Carson","SEA","15.7","65.7","0.6","1.5","12.9","0.1","0.1","11.7"
"","high","16.3","70.0","1.0","2.5","21.3","0.1","0.1","14.0"
"","low","15.1","60.3","0.4","1.0","10.0","0.0","0.2","10.5"
"Lamar Miller","HOU","15.5","65.9","0.5","2.2","16.8","0.1","0.1","11.5"
"","high","18.0","79.6","1.0","2.6","20.8","0.1","0.1","13.5"
"","low","14.1","55.1","0.3","1.9","14.2","0.0","0.2","9.9"
"Gus Edwards","BAL","16.5","75.9","0.5","0.9","7.9","0.0","0.0","11.5"
"","high","20.0","84.5","1.0","1.4","11.0","0.0","0.0","15.0"
"","low","12.2","65.9","0.2","0.2","1.5","0.0","0.1","9.1"
"Adrian Peterson","WAS","15.3","65.9","0.6","1.5","13.5","0.0","0.1","11.2"
"","high","17.7","83.0","1.0","2.0","17.9","0.1","0.0","13.3"
"","low","13.2","57.0","0.4","1.0","10.0","0.0","0.3","9.1"
"Mark Ingram","NO","11.9","51.2","0.4","2.9","23.6","0.3","0.2","11.0"
"","high","13.0","55.6","0.5","4.0","35.0","1.0","0.1","14.5"
