"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Tyreek Hill","KC","6.1","100.9","0.9","1.1","6.7","0.1","0.0","16.4"
"","high","7.0","116.0","1.1","1.4","9.8","0.1","0.0","19.1"
"","low","5.3","89.8","0.8","0.2","0.8","0.0","0.1","14.3"
"DeAndre Hopkins","HOU","7.1","101.8","0.8","0.1","0.5","0.0","0.1","14.7"
"","high","8.0","111.0","1.0","0.3","1.8","0.0","0.0","17.0"
"","low","6.5","89.5","0.6","0.0","-0.4","0.0","0.2","13.3"
"Adam Thielen","MIN","8.3","103.0","0.6","0.1","0.7","0.0","0.1","14.0"
"","high","10.0","110.0","1.0","0.2","1.5","0.0","0.1","17.0"
"","low","7.2","96.0","0.4","0.0","0.0","0.0","0.1","12.2"
"Antonio Brown","PIT","7.1","91.3","0.8","0.0","0.0","0.0","0.0","13.8"
"","high","7.7","100.0","1.0","0.0","0.1","0.0","0.0","16.0"
"","low","6.5","83.9","0.6","0.0","0.0","0.0","0.1","12.0"
"Odell Beckham Jr.","NYG","7.0","93.8","0.7","0.4","1.7","0.0","0.1","13.4"
"","high","7.5","101.0","1.0","0.5","2.2","0.0","0.0","15.5"
"","low","6.4","86.7","0.5","0.1","1.0","0.0","0.1","12.5"
"Davante Adams","GB","6.4","85.7","0.8","0.0","0.0","0.0","0.1","13.3"
"","high","7.5","93.4","1.0","0.0","0.0","0.0","0.0","14.7"
"","low","5.9","81.0","0.7","0.0","0.0","0.0","0.1","12.3"
"Michael Thomas","NO","7.2","91.0","0.7","0.0","0.0","0.0","0.1","13.1"
"","high","8.0","100.0","1.0","0.0","0.0","0.0","0.0","16.0"
"","low","5.9","83.7","0.5","0.0","0.0","0.0","0.2","11.8"
"Brandin Cooks","LAR","5.6","86.1","0.6","0.5","3.2","0.0","0.0","12.8"
"","high","7.0","101.0","1.0","0.8","4.7","0.1","0.0","15.0"
"","low","4.8","73.7","0.5","0.1","0.7","0.0","0.1","10.8"
"Mike Evans","TB","6.1","92.1","0.6","0.0","0.0","0.0","0.1","12.8"
"","high","7.0","107.0","1.0","0.0","0.0","0.0","0.0","15.0"
"","low","5.3","82.6","0.5","0.0","0.0","0.0","0.1","11.8"
"Julio Jones","ATL","6.6","93.3","0.5","0.1","0.7","0.0","0.1","12.5"
"","high","7.0","100.0","1.0","0.2","1.4","0.0","0.1","15.0"
"","low","6.0","88.0","0.3","0.0","0.0","0.0","0.1","10.7"
"Robert Woods","LAR","5.7","83.1","0.6","0.8","5.2","0.0","0.0","12.4"
"","high","7.0","95.5","1.0","1.1","6.7","0.0","0.0","14.5"
"","low","5.0","71.1","0.5","0.3","2.5","0.0","0.1","10.8"
"Keenan Allen","LAC","6.7","86.5","0.6","0.5","3.3","0.0","0.1","12.3"
"","high","7.0","91.0","1.0","0.7","5.3","0.0","0.1","14.5"
"","low","6.4","80.1","0.4","0.1","0.4","0.0","0.1","11.7"
"JuJu Smith-Schuster","PIT","6.3","86.3","0.6","0.0","0.2","0.0","0.0","12.3"
"","high","7.2","98.0","1.0","0.1","1.0","0.0","0.0","14.0"
"","low","5.9","79.5","0.4","0.0","-0.1","0.0","0.1","11.0"
"Kenny Golladay","DET","5.6","84.5","0.6","0.1","0.4","0.0","0.0","12.3"
"","high","6.0","90.6","1.0","0.1","0.8","0.0","0.0","14.5"
"","low","5.0","75.9","0.5","0.0","0.0","0.0","0.1","10.7"
"Emmanuel Sanders","DEN","6.1","76.9","0.5","0.4","2.5","0.0","0.0","11.2"
"","high","7.0","85.0","1.0","0.5","4.0","0.1","0.0","15.0"
"","low","5.7","69.8","0.4","0.2","0.7","0.0","0.1","9.7"
"T.Y. Hilton","IND","5.1","74.6","0.6","0.0","0.0","0.0","0.1","11.1"
"","high","5.9","86.9","1.0","0.0","0.0","0.0","0.0","13.0"
"","low","4.2","70.0","0.4","0.0","0.0","0.0","0.2","9.7"
"Stefon Diggs","MIN","6.0","73.3","0.6","0.5","2.7","0.0","0.1","11.0"
"","high","7.0","82.0","1.0","0.7","3.8","0.0","0.0","12.0"
"","low","4.0","60.0","0.4","0.3","1.2","0.0","0.1","10.0"
"Amari Cooper","DAL","5.4","74.1","0.6","0.1","0.2","0.0","0.0","10.8"
"","high","6.0","80.0","1.0","0.1","0.8","0.0","0.0","14.0"
"","low","4.9","68.0","0.4","0.0","0.0","0.0","0.1","9.2"
"Julian Edelman","NE","5.6","67.2","0.5","0.5","3.5","0.0","0.1","10.0"
"","high","6.0","75.0","1.0","0.8","5.3","0.0","0.0","13.5"
"","low","5.0","60.0","0.3","0.1","0.3","0.0","0.1","8.6"
"D.J. Moore","CAR","5.0","65.4","0.4","0.7","6.2","0.0","0.1","9.5"
"","high","7.0","80.0","1.0","1.0","11.5","0.0","0.0","14.5"
"","low","4.0","51.4","0.2","0.3","2.2","0.0","0.2","6.7"
"Corey Davis","TEN","4.7","64.4","0.5","0.3","2.0","0.0","0.0","9.5"
"","high","6.0","75.0","1.0","0.6","3.7","0.0","0.0","13.5"
"","low","3.9","54.3","0.3","0.0","0.0","0.0","0.0","8.2"
"Tyler Lockett","SEA","3.8","55.6","0.6","0.4","3.1","0.0","0.0","9.4"
"","high","5.0","70.0","1.0","0.7","5.1","0.0","0.0","13.0"
"","low","3.1","45.3","0.4","0.2","1.0","0.0","0.0","7.3"
"A.J. Green","CIN","5.1","72.0","0.4","0.0","0.0","0.0","0.1","9.4"
"","high","6.0","77.3","0.6","0.0","0.0","0.0","0.0","10.7"
"","low","4.6","65.8","0.0","0.0","0.0","0.0","0.2","7.5"
"Tyler Boyd","CIN","4.6","60.8","0.5","0.1","0.8","0.0","0.0","9.0"
"","high","5.0","67.2","1.0","0.2","1.4","0.0","0.0","12.5"
"","low","4.2","53.6","0.3","0.0","0.1","0.0","0.1","7.3"
"Alshon Jeffery","PHI","4.2","56.6","0.5","0.0","0.0","0.0","0.0","8.8"
"","high","5.0","70.0","1.0","0.0","0.0","0.0","0.0","13.0"
"","low","3.8","51.0","0.4","0.0","0.0","0.0","0.1","7.5"
"Chris Godwin","TB","4.9","65.6","0.3","0.0","0.0","0.0","0.1","8.3"
"","high","5.5","79.7","0.5","0.0","0.0","0.0","0.1","10.4"
"","low","4.1","54.6","0.0","0.0","0.0","0.0","0.1","6.5"
"Josh Gordon","NE","4.2","63.4","0.3","0.0","0.0","0.0","0.0","8.2"
"","high","5.0","65.0","0.5","0.0","0.0","0.0","0.0","9.3"
"","low","4.0","60.4","0.0","0.0","0.0","0.0","0.1","6.5"
"Allen Robinson","CHI","3.9","53.1","0.5","0.0","0.0","0.0","0.0","8.2"
"","high","4.2","55.0","1.0","0.0","0.0","0.0","0.0","11.5"
